column_name,type
STOCK CODE,categorical
ISIN CODE,categorical
STOCK NAME,categorical
VALUE DATE,categorical
EVAL UPPER THRESHOLD YIELD,categorical
EVAL MID YIELD,categorical
EVAL LOWER THRESHOLD YIELD,categorical
EVAL LOWER THRESHOLD PRICE,numerical
EVAL MID PRICE,numerical
EVAL UPPER THRESHOLD PRICE,numerical
MODIFIED DURATION,numerical
CONVEXITY,numerical
EVAL UPPER THRESHOLD YIELD CHANGE,categorical
EVAL MID YIELD CHANGE,categorical
EVAL LOWER THRESHOLD YIELD CHANGE,categorical
EVAL LOWER THRESHOLD PRICE CHANGE,categorical
EVAL MID PRICE CHANGE,categorical
EVAL UPPER THRESHOLD PRICE CHANGE,categorical
COMPOSITE LIQUIDITY SCORE (T-1),categorical
